IP:Port,Loss,Latency
162.159.195.188:968,0%,169.17
162.159.195.89:955,0%,170.62
162.159.192.70:1180,0%,170.89
162.159.195.159:4233,0%,171.00
162.159.195.197:2408,0%,171.54
162.159.195.179:7103,0%,171.91
162.159.195.93:1843,0%,171.98
162.159.192.152:7281,0%,173.00
162.159.195.35:987,0%,173.02
162.159.195.192:908,0%,173.14
162.159.195.24:854,0%,173.29
162.159.195.215:987,0%,173.36
162.159.195.139:934,0%,173.38
162.159.195.203:4233,0%,173.39
162.159.195.64:8742,0%,173.47
162.159.195.164:908,0%,173.48
162.159.195.237:2371,0%,173.51
162.159.195.113:8742,0%,173.57
162.159.195.54:7103,0%,173.87
162.159.195.23:7281,0%,173.97
162.159.195.5:878,0%,174.08
162.159.195.226:8742,0%,174.11
162.159.195.175:880,0%,174.44
162.159.195.214:2506,0%,174.69
162.159.192.215:500,0%,174.86
162.159.195.14:943,0%,175.01
162.159.195.1:3476,0%,175.28
162.159.195.56:7281,0%,175.49
162.159.195.159:1070,0%,175.51
162.159.195.249:1701,0%,175.70
162.159.195.39:4198,0%,175.74
162.159.195.209:3581,0%,175.75
162.159.195.215:878,0%,175.99
162.159.195.130:880,0%,176.13
162.159.195.254:968,0%,176.21
162.159.195.215:942,0%,176.26
162.159.195.65:880,0%,177.24
162.159.192.243:934,0%,177.43
162.159.195.81:1002,0%,177.63
162.159.195.25:1018,0%,177.65
162.159.192.149:2506,0%,177.75
162.159.192.32:500,0%,178.05
162.159.195.66:1074,0%,178.08
162.159.192.11:7156,0%,178.12
162.159.195.34:987,0%,178.15
162.159.195.36:8886,0%,178.21
162.159.195.111:934,0%,178.50
162.159.195.215:1010,0%,178.70
162.159.195.38:988,0%,178.78
162.159.195.244:1018,0%,178.82
162.159.195.236:928,0%,179.03
162.159.195.98:891,0%,179.04
162.159.195.69:939,0%,179.53
162.159.195.10:864,0%,179.56
162.159.195.64:859,0%,180.05
162.159.195.18:1070,0%,180.28
162.159.195.27:891,0%,180.39
162.159.195.12:3854,0%,180.57
162.159.195.74:2408,0%,181.35
162.159.195.92:854,0%,181.79
162.159.195.222:878,0%,181.99
162.159.195.2:939,0%,182.87
162.159.195.6:1010,0%,182.90
162.159.195.224:955,0%,182.98
162.159.195.77:8886,0%,183.05
162.159.192.122:942,0%,183.20
162.159.195.153:859,0%,183.56
162.159.195.37:3581,0%,183.59
162.159.192.82:943,0%,183.69
162.159.195.53:854,0%,183.99
162.159.195.134:942,0%,184.18
162.159.195.134:988,0%,184.28
162.159.192.220:8886,0%,184.30
162.159.195.122:8319,0%,184.31
162.159.195.189:894,0%,184.47
162.159.195.153:3476,0%,185.72
162.159.195.30:5956,0%,186.15
162.159.195.81:4233,0%,186.38
162.159.195.23:1701,0%,187.63
162.159.195.59:968,0%,189.41
162.159.195.28:3581,0%,189.46
162.159.195.233:968,0%,191.76
162.159.195.81:1070,0%,205.54
188.114.97.224:955,0%,218.95
188.114.98.190:4233,0%,219.07
188.114.97.169:1843,0%,219.27
188.114.98.100:955,0%,220.42
188.114.97.29:7152,0%,220.75
188.114.99.196:955,0%,221.05
188.114.99.207:864,0%,221.21
188.114.96.15:880,0%,221.27
188.114.96.52:2371,0%,221.65
188.114.99.125:2408,0%,221.76
188.114.96.147:4500,0%,221.81
188.114.99.132:4198,0%,221.99
188.114.98.46:942,0%,222.30
188.114.96.42:1014,0%,222.34
188.114.97.238:3854,0%,222.65
188.114.96.57:2506,0%,222.91
188.114.99.248:859,0%,222.95
188.114.96.207:7103,0%,223.11
188.114.97.246:878,0%,223.21
188.114.97.147:1002,0%,223.36
188.114.99.231:854,0%,223.42
188.114.98.116:955,0%,223.57
188.114.98.112:891,0%,223.64
188.114.98.235:2506,0%,223.68
188.114.96.128:2506,0%,223.82
188.114.96.136:864,0%,224.09
188.114.99.117:8742,0%,224.24
188.114.98.67:1002,0%,224.24
188.114.97.5:934,0%,224.31
188.114.99.207:859,0%,224.42
188.114.99.250:7156,0%,224.58
188.114.97.87:928,0%,224.64
188.114.97.165:2506,0%,224.79
188.114.97.45:5279,0%,224.82
188.114.99.215:1014,0%,225.31
188.114.97.39:4177,0%,225.33
188.114.98.203:5956,0%,225.80
188.114.98.135:3138,0%,225.89
188.114.99.203:4198,0%,226.03
188.114.99.185:3476,0%,226.10
188.114.97.15:859,0%,226.16
188.114.98.50:945,0%,226.26
188.114.96.126:8854,0%,226.36
188.114.97.168:2371,0%,226.49
188.114.99.176:3138,0%,226.56
188.114.97.29:1070,0%,226.91
188.114.99.146:864,0%,226.93
188.114.98.53:934,0%,227.00
188.114.98.75:968,0%,227.26
188.114.97.156:5279,0%,227.28
188.114.96.7:7103,0%,227.35
188.114.98.16:894,0%,227.55
188.114.98.10:4198,0%,227.69
188.114.99.84:3476,0%,227.71
188.114.98.13:1074,0%,227.82
188.114.98.113:8886,0%,227.93
188.114.97.93:878,0%,227.96
188.114.97.176:8886,0%,228.06
188.114.98.152:1070,0%,228.06
188.114.98.102:987,0%,228.15
188.114.97.52:4233,0%,228.18
188.114.96.86:7103,0%,228.19
188.114.99.225:3581,0%,228.26
188.114.96.133:8854,0%,228.26
188.114.97.186:1010,0%,228.28
188.114.98.230:988,0%,228.29
188.114.97.3:854,0%,228.31
188.114.99.69:955,0%,228.39
188.114.99.101:2506,0%,228.40
188.114.98.242:7152,0%,228.42
188.114.97.224:4198,0%,228.49
188.114.98.95:7152,0%,228.53
188.114.97.130:988,0%,228.54
188.114.98.12:7103,0%,228.54
188.114.99.230:955,0%,228.58
188.114.99.97:894,0%,228.66
188.114.97.91:7281,0%,228.70
188.114.98.13:1387,0%,228.73
188.114.99.175:1843,0%,228.83
188.114.98.38:859,0%,228.95
188.114.99.159:1002,0%,228.96
188.114.99.235:7103,0%,229.00
188.114.97.240:1014,0%,229.00
188.114.98.19:3476,0%,229.05
188.114.99.76:934,0%,229.11
188.114.99.117:890,0%,229.22
188.114.96.123:7156,0%,229.23
188.114.99.81:939,0%,229.34
188.114.96.222:943,0%,229.49
188.114.99.155:8886,0%,229.60
188.114.98.229:939,0%,229.62
188.114.99.228:943,0%,229.62
188.114.99.31:4198,0%,229.63
188.114.99.208:878,0%,229.64
188.114.99.22:7103,0%,229.66
188.114.96.201:1002,0%,229.68
188.114.98.184:945,0%,229.70
188.114.98.73:1180,0%,229.72
188.114.99.138:1014,0%,229.74
188.114.97.18:1014,0%,229.76
188.114.98.128:988,0%,229.77
188.114.96.235:8854,0%,229.78
188.114.98.53:1701,0%,229.87
188.114.97.55:864,0%,229.88
188.114.99.141:7281,0%,229.94
188.114.97.158:1018,0%,230.02
188.114.98.230:4177,0%,230.04
188.114.96.100:4177,0%,230.07
188.114.98.132:3854,0%,230.16
188.114.96.8:2371,0%,230.28
188.114.96.95:1180,0%,230.31
188.114.99.250:864,0%,230.47
188.114.98.122:942,0%,230.49
188.114.98.144:864,0%,230.85
188.114.96.232:8319,0%,230.85
188.114.98.106:8742,0%,230.87
188.114.99.26:890,0%,231.00
188.114.99.232:7152,0%,231.02
188.114.99.87:4233,0%,231.21
188.114.99.67:7156,0%,231.29
188.114.96.61:945,0%,231.30
188.114.97.114:1701,0%,231.42
188.114.97.205:7152,0%,231.67
188.114.96.104:1180,0%,231.87
188.114.97.69:859,0%,232.05
188.114.97.95:8319,0%,232.05
188.114.96.150:1387,0%,232.40
188.114.98.128:4198,0%,232.52
188.114.98.77:7103,0%,232.54
188.114.98.15:4233,0%,232.57
188.114.97.83:5279,0%,232.67
188.114.98.194:939,0%,232.79
188.114.99.33:2371,0%,232.82
188.114.96.94:7152,0%,232.86
188.114.96.44:903,0%,232.94
188.114.99.108:8742,0%,232.95
